comparison_group,variable,synthetic_network_type,external_network_type,synthetic_column,external_column,synthetic_n,external_n,synthetic_median,external_median,median_difference,median_ratio,synthetic_iqr,external_iqr,iqr_ratio,ks_stat,wasserstein_distance,js_distance
Vienna phone,RSRP (4G),4G,4G,rsrp_dbm,rsrp_dbm,12390,1183683,-97.54,-88.5,-9.040000000000006,1.1021468926553672,24.5,16.20000457763672,1.5123452516686942,0.29932089766548997,9.984647880541775,0.337376806585313
Vienna phone,RSRP (5G NSA),5G NSA,5G,rsrp_dbm,rsrp_dbm,19650,200129,-98.77,-93.0,-5.769999999999996,1.0620430107526881,25.0175,15.099999999999994,1.6567880794701992,0.21536817938180508,7.5449445487609585,0.2849701705369027
Vienna phone,Download throughput (4G),4G,4G,download_mbps,download_mbps,12390,1156170,5.45,10.600000381469727,-5.150000381469726,0.514150924893112,14.49,47.400001525878906,0.30569619269081494,0.23662305247175686,16.93201432730405,0.2663501588727596
Vienna phone,Download throughput (5G NSA),5G NSA,5G,download_mbps,download_mbps,19650,199861,18.93,31.100000381469727,-12.170000381469727,0.6086816645596904,62.017500000000005,236.10000306367874,0.2626747106956759,0.3164525006457096,106.98370865298382,0.29556642684264184
Vienna phone,Upload throughput (4G),4G,4G,upload_mbps,upload_mbps,12390,1155270,0.62,0.6000000238418579,0.019999976158142085,1.0333332922723575,1.6500000000000001,9.999999806284904,0.16500000319629915,0.23439172977414313,8.350380965299728,0.3111527842498438
Vienna phone,Upload throughput (5G NSA),5G NSA,5G,upload_mbps,upload_mbps,19650,199861,0.96,0.30000001192092896,0.659999988079071,3.1999998728434296,4.987500000000001,1.399999976158142,3.562500060669015,0.2857683372386557,5.250647689505968,0.20658965024272027
