dataset,variable,n,mean,std,min,p05,p25,median,p75,p95,max,iqr
Vienna_scanner_all,rsrp_dbm,2027244,-97.64916635589992,15.001604308304646,-150.0,-121.0,-108.8,-98.3,-87.3,-71.9,-34.0,21.5
Vienna_scanner_LTE,rsrp_dbm,529724,-92.69818452628161,15.812446549338045,-150.0,-118.3,-103.7,-92.9,-81.8,-66.1,-34.0,21.900000000000006
Vienna_scanner_5G,rsrp_dbm,1497520,-99.40049782306747,14.299375733553665,-136.8,-121.5,-110.2,-100.2,-89.4,-74.8,-37.5,20.799999999999997
